s,d,yaw,pitch,dyaw,dpitch,qdist
0.6890,9106.6,20.812,19.066,0.5255,0.1852,0.5571
0.6900,9117.6,20.334,19.242,0.4772,0.1757,0.5085
0.6910,9128.4,19.903,19.386,0.4314,0.1441,0.4548
0.6920,9139.1,19.513,19.515,0.3902,0.1292,0.4111
0.6930,9149.6,19.157,19.577,0.3560,0.0621,0.3614
0.6940,9160.0,18.826,19.646,0.3305,0.0686,0.3376
0.6950,9170.2,18.511,19.796,0.3153,0.1503,0.3493
0.6960,9180.4,18.200,19.899,0.3113,0.1032,0.3279
0.6970,9190.3,17.881,19.966,0.3186,0.0666,0.3254
0.6980,9200.1,17.545,20.056,0.3364,0.0896,0.3481
0.6990,9209.8,17.181,20.133,0.3632,0.0777,0.3714
0.7000,9219.4,16.785,20.188,0.3965,0.0547,0.4003
0.7010,9228.8,16.351,20.256,0.4337,0.0680,0.4390
0.7020,9238.1,15.879,20.365,0.4721,0.1093,0.4846
0.7030,9247.3,15.369,20.498,0.5099,0.1328,0.5269
0.7040,9256.3,14.824,20.579,0.5455,0.0813,0.5515
0.7050,9265.3,14.245,20.644,0.5783,0.0648,0.5819
0.7060,9274.1,13.637,20.749,0.6084,0.1047,0.6173
0.7070,9282.8,13.001,20.860,0.6365,0.1114,0.6461
0.7080,9291.3,12.337,20.961,0.6635,0.1011,0.6712
0.7090,9299.8,11.646,21.028,0.6906,0.0661,0.6938
0.7100,9308.1,10.928,21.106,0.7186,0.0785,0.7229
0.7110,9316.4,10.180,21.153,0.7480,0.0468,0.7495
0.7120,9324.5,9.401,21.182,0.7792,0.0286,0.7797
0.7130,9332.5,8.588,21.192,0.8124,0.0101,0.8125
0.7140,9340.4,7.741,21.206,0.8476,0.0148,0.8477
0.7150,9348.2,6.856,21.216,0.8844,0.0094,0.8844
0.7160,9355.9,5.934,21.199,0.9223,0.0170,0.9225
0.7170,9363.6,4.973,21.226,0.9610,0.0268,0.9613
0.7180,9371.1,3.973,21.251,0.9999,0.0253,1.0003
0.7190,9378.5,2.934,21.262,1.0390,0.0105,1.0390
0.7200,9385.8,1.856,21.238,1.0778,0.0233,1.0780
0.7210,9393.1,0.740,21.186,1.1163,0.0525,1.1175
0.7220,9400.2,-0.414,21.122,1.1542,0.0642,1.1560
0.7230,9407.3,-1.605,21.042,1.1915,0.0792,1.1941
0.7240,9414.3,-2.833,20.946,1.2279,0.0961,1.2316
0.7250,9421.2,-4.097,20.836,1.2635,0.1101,1.2683
0.7260,9428.0,-5.395,20.706,1.2983,0.1306,1.3049
0.7270,9434.8,-6.728,20.590,1.3327,0.1154,1.3377
0.7280,9441.5,-8.095,20.469,1.3668,0.1214,1.3721
0.7290,9448.1,-9.495,20.365,1.4008,0.1039,1.4047
0.7300,9454.6,-10.930,20.258,1.4350,0.1067,1.4390
0.7310,9461.1,-12.400,20.221,1.4693,0.0367,1.4698
0.7320,9467.5,-13.903,20.181,1.5035,0.0404,1.5041
0.7330,9473.9,-15.441,20.172,1.5373,0.0087,1.5373
0.7340,9480.1,-17.011,20.170,1.5701,0.0019,1.5701
0.7350,9486.4,-18.612,20.125,1.6015,0.0449,1.6022
0.7360,9492.5,-20.243,20.065,1.6311,0.0605,1.6322
0.7370,9498.6,-21.902,20.034,1.6584,0.0308,1.6587
0.7380,9504.7,-23.585,20.029,1.6835,0.0055,1.6835
0.7390,9510.7,-25.291,20.037,1.7063,0.0084,1.7063
0.7400,9516.7,-27.019,20.077,1.7273,0.0402,1.7278
0.7410,9522.6,-28.766,20.115,1.7471,0.0377,1.7475
0.7420,9528.4,-30.532,20.136,1.7663,0.0215,1.7664
0.7430,9534.3,-32.318,20.168,1.7855,0.0319,1.7858
0.7440,9540.0,-34.123,20.189,1.8052,0.0209,1.8053
0.7450,9545.8,-35.949,20.250,1.8258,0.0608,1.8268
0.7460,9551.5,-37.796,20.321,1.8472,0.0708,1.8485
0.7470,9557.2,-39.665,20.398,1.8694,0.0768,1.8709
0.7480,9562.8,-41.557,20.467,1.8919,0.0695,1.8931
0.7490,9568.4,-43.471,20.523,1.9141,0.0556,1.9149
0.7500,9574.0,-45.406,20.569,1.9353,0.0458,1.9358
0.7510,9579.6,-47.361,20.620,1.9549,0.0510,1.9555
0.7520,9585.1,-49.333,20.660,1.9722,0.0399,1.9726
0.7530,9590.6,-51.320,20.684,1.9868,0.0249,1.9869
0.7540,9596.1,306.682,20.731,1.9980,0.0467,1.9985
0.7550,9601.6,304.682,20.757,2.0000,0.0259,2.0002
0.7560,9607.0,302.682,20.758,2.0000,0.0006,2.0000
0.7570,9612.5,300.682,20.749,2.0000,0.0084,2.0000
0.7580,9617.9,298.682,20.739,2.0000,0.0098,2.0000
0.7590,9623.4,296.682,20.736,2.0000,0.0030,2.0000
0.7600,9628.8,294.682,20.735,2.0000,0.0019,2.0000
0.7610,9634.2,292.682,20.733,2.0000,0.0013,2.0000
0.7620,9639.6,290.693,20.724,1.9888,0.0094,1.9888
0.7630,9645.0,288.742,20.754,1.9515,0.0304,1.9517
0.7640,9650.4,286.807,20.788,1.9349,0.0335,1.9352
0.7650,9655.9,284.889,20.872,1.9179,0.0841,1.9197
0.7660,9661.3,282.988,20.903,1.9003,0.0315,1.9006
0.7670,9666.7,281.106,20.913,1.8822,0.0094,1.8822
0.7680,9672.2,279.243,20.918,1.8633,0.0058,1.8633
0.7690,9677.6,277.399,20.928,1.8438,0.0094,1.8438
0.7700,9683.1,275.576,20.925,1.8235,0.0024,1.8235
0.7710,9688.6,273.773,20.902,1.8025,0.0230,1.8027
0.7720,9694.1,271.992,20.864,1.7813,0.0384,1.7818
0.7730,9699.6,270.232,20.812,1.7600,0.0519,1.7608
0.7740,9705.2,268.493,20.796,1.7387,0.0158,1.7387
0.7750,9710.7,266.776,20.772,1.7170,0.0245,1.7171
0.7760,9716.3,265.081,20.754,1.6948,0.0181,1.6949
0.7770,9722.0,263.410,20.748,1.6715,0.0054,1.6715
0.7780,9727.6,261.763,20.736,1.6468,0.0124,1.6468
0.7790,9733.3,260.143,20.704,1.6201,0.0315,1.6204
0.7800,9739.1,258.552,20.644,1.5912,0.0606,1.5924
0.7810,9744.8,256.992,20.565,1.5596,0.0791,1.5616
0.7820,9750.7,255.467,20.498,1.5252,0.0664,1.5267
0.7830,9756.5,253.979,20.439,1.4878,0.0593,1.4890
0.7840,9762.4,252.532,20.412,1.4475,0.0268,1.4478
0.7850,9768.3,251.127,20.398,1.4047,0.0140,1.4048
0.7860,9774.3,249.767,20.344,1.3599,0.0537,1.3609
0.7870,9780.4,248.453,20.254,1.3139,0.0907,1.3171
0.7880,9786.5,247.185,20.110,1.2678,0.1437,1.2760
0.7890,9792.6,245.962,19.962,1.2229,0.1476,1.2318
0.7900,9798.8,244.782,19.839,1.1804,0.1237,1.1868
0.7910,9805.1,243.640,19.723,1.1415,0.1155,1.1474
0.7920,9811.4,242.533,19.589,1.1074,0.1341,1.1155
0.7930,9817.8,241.455,19.491,1.0782,0.0979,1.0826
0.7940,9824.3,240.402,19.419,1.0533,0.0725,1.0558
0.7950,9830.8,239.371,19.346,1.0310,0.0723,1.0336
0.7960,9837.4,238.362,19.318,1.0089,0.0285,1.0093
0.7970,9844.0,237.378,19.277,0.9838,0.0405,0.9847
0.7980,9850.8,236.425,19.255,0.9526,0.0224,0.9529
0.7990,9857.6,235.512,19.221,0.9127,0.0340,0.9133
0.8000,9864.5,234.650,19.182,0.8628,0.0389,0.8637
0.8010,9871.4,233.846,19.139,0.8032,0.0432,0.8044
0.8020,9878.5,233.110,19.122,0.7360,0.0167,0.7362
0.8030,9885.6,232.446,19.108,0.6645,0.0144,0.6646
0.8040,9892.8,231.853,19.076,0.5933,0.0316,0.5941
0.8050,9900.1,231.325,19.044,0.5274,0.0327,0.5285
0.8060,9907.5,230.854,19.007,0.4716,0.0369,0.4731
0.8070,9915.0,230.424,18.997,0.4296,0.0094,0.4297
0.8080,9922.6,230.020,18.986,0.4036,0.0111,0.4037
0.8090,9930.3,229.626,18.948,0.3940,0.0380,0.3958
0.8100,9938.1,229.227,18.915,0.3992,0.0335,0.4007
0.8110,9946.0,228.811,18.871,0.4165,0.0441,0.4188
0.8120,9954.0,228.369,18.849,0.4419,0.0219,0.4425
0.8130,9962.0,227.897,18.826,0.4714,0.0222,0.4719
0.8140,9970.2,227.396,18.778,0.5010,0.0481,0.5033
0.8150,9978.6,226.868,18.717,0.5280,0.0610,0.5315
0.8160,9987.0,226.318,18.659,0.5503,0.0582,0.5533
0.8170,9995.5,225.751,18.605,0.5671,0.0543,0.5696
0.8180,10004.2,225.173,18.573,0.5783,0.0314,0.5792
0.8190,10012.9,224.588,18.503,0.5843,0.0708,0.5886
0.8200,10021.8,224.003,18.429,0.5855,0.0733,0.5901
0.8210,10030.8,223.420,18.350,0.5824,0.0796,0.5878
0.8220,10040.0,222.845,18.274,0.5756,0.0758,0.5805
0.8230,10049.2,222.280,18.208,0.5652,0.0665,0.5690
0.8240,10058.6,221.729,18.143,0.5510,0.0645,0.5548
0.8250,10068.1,221.196,18.045,0.5326,0.0977,0.5415
0.8260,10077.8,220.687,17.937,0.5088,0.1086,0.5202
0.8270,10087.6,220.209,17.817,0.4785,0.1196,0.4932
0.8280,10097.5,219.769,17.697,0.4400,0.1204,0.4562
0.8290,10107.6,219.376,17.586,0.3925,0.1109,0.4079
0.8300,10117.8,219.041,17.478,0.3354,0.1080,0.3524
0.8310,10128.1,218.772,17.335,0.2693,0.1429,0.3048
0.8320,10138.6,218.576,17.201,0.1955,0.1338,0.2369
0.8330,10149.2,218.460,17.065,0.1163,0.1359,0.1788
0.8340,10160.0,218.425,16.940,0.0347,0.1247,0.1295
0.8350,10171.0,218.471,16.823,0.0455,0.1179,0.1264
0.8360,10182.1,218.591,16.707,0.1204,0.1160,0.1672
0.8370,10193.3,218.777,16.590,0.1860,0.1164,0.2194
0.8380,10204.7,219.016,16.512,0.2389,0.0787,0.2515
0.8390,10216.3,219.292,16.414,0.2761,0.0979,0.2930
0.8400,10228.0,219.589,16.308,0.2964,0.1060,0.3148
0.8410,10239.9,219.888,16.200,0.2998,0.1080,0.3187
0.8420,10252.0,220.177,16.085,0.2882,0.1151,0.3103
0.8430,10264.2,220.441,15.978,0.2644,0.1061,0.2849
0.8440,10276.6,220.673,15.864,0.2319,0.1145,0.2587
0.8450,10289.2,220.867,15.760,0.1939,0.1037,0.2199
0.8460,10302.0,221.020,15.696,0.1532,0.0639,0.1659
0.8470,10314.9,221.132,15.593,0.1116,0.1036,0.1523
0.8480,10328.0,221.202,15.488,0.0707,0.1046,0.1263
0.8490,10341.3,221.234,15.398,0.0314,0.0896,0.0950
0.8500,10354.8,221.229,15.275,0.0051,0.1235,0.1236
0.8510,10368.4,221.191,15.132,0.0374,0.1426,0.1474
0.8520,10382.3,221.128,15.024,0.0637,0.1083,0.1257
0.8530,10396.3,221.045,14.986,0.0824,0.0385,0.0909
0.8540,10410.5,220.952,14.913,0.0929,0.0727,0.1180
0.8550,10425.0,220.857,14.835,0.0953,0.0779,0.1231
0.8560,10439.6,220.768,14.717,0.0890,0.1182,0.1480
0.8570,10454.4,220.693,14.609,0.0751,0.1079,0.1315
0.8580,10469.4,220.636,14.532,0.0565,0.0764,0.0951
0.8590,10484.6,220.604,14.465,0.0325,0.0671,0.0746
0.8600,10500.0,220.600,14.473,0.0036,0.0073,0.0082
0.8610,10516.9,220.631,14.456,0.0308,0.0165,0.0349
0.8620,10536.4,220.702,14.393,0.0714,0.0634,0.0955
0.8630,10558.4,220.823,14.359,0.1205,0.0339,0.1252
0.8640,10582.9,221.003,14.295,0.1804,0.0640,0.1914
0.8650,10610.0,221.257,14.148,0.2535,0.1469,0.2930
0.8660,10639.4,221.599,13.937,0.3423,0.2110,0.4022
0.8670,10671.2,222.045,13.876,0.4464,0.0606,0.4505
0.8680,10705.4,222.610,13.797,0.5642,0.0795,0.5698
0.8690,10741.9,223.303,13.655,0.6930,0.1416,0.7073
0.8700,10780.6,224.130,13.549,0.8272,0.1066,0.8341
0.8710,10821.4,225.089,13.531,0.9598,0.0177,0.9599
0.8720,10864.5,226.173,13.556,1.0835,0.0254,1.0838
0.8730,10909.6,227.365,13.577,1.1924,0.0207,1.1925
0.8740,10956.8,228.647,13.551,1.2816,0.0265,1.2818
0.8750,11006.0,229.994,13.454,1.3470,0.0963,1.3504
0.8760,11057.2,231.382,13.202,1.3882,0.2519,1.4108
0.8770,11110.3,232.787,13.113,1.4050,0.0896,1.4079
0.8780,11165.2,234.188,13.028,1.4012,0.0851,1.4038
0.8790,11222.0,235.569,12.891,1.3803,0.1373,1.3871
0.8800,11280.6,236.916,12.756,1.3479,0.1347,1.3546
0.8810,11340.8,238.227,12.717,1.3106,0.0391,1.3112
0.8820,11402.8,239.507,12.639,1.2801,0.0778,1.2825
0.8830,11466.4,240.771,13.251,1.2643,0.6118,1.4045
0.8840,11531.6,242.040,12.946,1.2688,0.3042,1.3047
0.8850,11598.4,243.338,13.946,1.2977,1.0000,1.6383
0.8860,11666.6,244.687,14.615,1.3492,0.6685,1.5057
0.8870,11736.3,246.104,14.928,1.4173,0.3127,1.4514
0.8880,11807.4,247.597,14.757,1.4923,0.1710,1.5021
0.8890,11879.8,249.164,14.853,1.5671,0.0960,1.5701
0.8900,11953.6,250.795,14.576,1.6311,0.2769,1.6545
0.8910,12028.6,252.476,14.236,1.6814,0.3393,1.7152
0.8920,12104.9,254.192,13.959,1.7162,0.2775,1.7384
0.8930,12182.3,255.929,13.831,1.7363,0.1283,1.7411
0.8940,12260.8,257.674,13.681,1.7450,0.1499,1.7515
0.8950,12340.5,259.411,13.467,1.7372,0.2139,1.7503
0.8960,12421.1,261.118,13.337,1.7070,0.1297,1.7120
0.8970,12502.8,262.766,13.204,1.6478,0.1329,1.6531
0.8980,12585.3,264.325,13.255,1.5588,0.0503,1.5596
0.8990,12668.8,265.764,13.158,1.4393,0.0963,1.4425
0.9000,12753.1,267.063,12.555,1.2995,0.6032,1.4326
0.9010,12838.3,268.215,12.097,1.1513,0.4579,1.2390
0.9020,12924.1,269.219,11.747,1.0048,0.3496,1.0639
0.9030,13010.7,270.097,11.421,0.8778,0.3270,0.9367
0.9040,13098.0,270.896,11.445,0.7984,0.0244,0.7988
0.9050,13185.8,271.679,11.332,0.7834,0.1132,0.7915
0.9060,13274.3,272.514,10.932,0.8355,0.3995,0.9261
0.9070,13363.2,273.474,10.829,0.9591,0.1034,0.9647
0.9080,13452.6,274.600,10.642,1.1262,0.1869,1.1416
0.9090,13542.5,275.894,10.499,1.2938,0.1427,1.3017
0.9100,13632.7,277.325,10.343,1.4310,0.1563,1.4395
0.9110,13723.3,278.841,9.903,1.5164,0.4398,1.5788
0.9120,13814.2,280.403,10.903,1.5616,1.0000,1.8543
0.9130,13905.3,281.984,11.903,1.5812,1.0000,1.8709
0.9140,13996.6,283.583,12.903,1.5995,1.0000,1.8864
0.9150,14088.0,285.226,13.903,1.6422,1.0000,1.9227
0.9160,14179.6,286.950,14.903,1.7243,1.0000,1.9933
0.9170,14271.2,288.789,14.940,1.8394,0.0365,1.8398
0.9180,14362.8,290.748,15.534,1.9586,0.5940,2.0466
0.9190,14454.4,292.748,16.076,2.0000,0.5419,2.0721
0.9200,14545.9,294.748,16.076,2.0000,0.0000,2.0000
0.9210,14637.2,296.695,15.076,1.9467,1.0000,2.1885
0.9220,14728.4,298.311,14.888,1.6160,0.1877,1.6269
0.9230,14819.4,299.559,14.444,1.2488,0.4438,1.3253
0.9240,14910.1,300.401,13.873,0.8420,0.5715,1.0177
0.9250,15000.5,300.873,14.873,0.4713,1.0000,1.1055
0.9260,15090.5,301.049,14.411,0.1761,0.4621,0.4946
0.9270,15180.1,301.047,14.508,0.0022,0.0979,0.0980
0.9280,15269.3,300.985,15.508,0.0618,1.0000,1.0019
0.9290,15358.0,300.953,15.530,0.0322,0.0220,0.0390
0.9300,15446.1,301.035,15.322,0.0820,0.2086,0.2242
0.9310,15533.6,301.260,14.768,0.2256,0.5535,0.5977
0.9320,15620.5,301.620,13.920,0.3597,0.8485,0.9216
0.9330,15706.7,302.087,13.610,0.4670,0.3096,0.5603
0.9340,15792.1,302.615,12.610,0.5284,1.0000,1.1310
0.9350,15876.8,303.157,12.492,0.5417,0.1184,0.5545
0.9360,15960.6,303.665,13.492,0.5081,1.0000,1.1217
0.9370,16043.6,304.106,14.249,0.4414,0.7568,0.8761
0.9380,16125.7,304.458,13.901,0.3512,0.3474,0.4940
0.9390,16206.8,304.696,13.366,0.2388,0.5351,0.5860
0.9400,16286.8,304.800,13.071,0.1031,0.2949,0.3124
0.9410,16365.9,304.743,12.444,0.0565,0.6271,0.6296
0.9420,16443.8,304.508,12.255,0.2354,0.1892,0.3020
0.9430,16520.5,304.077,12.014,0.4303,0.2404,0.4929
0.9440,16596.1,303.448,11.812,0.6292,0.2020,0.6608
0.9450,16670.4,302.620,11.780,0.8282,0.0326,0.8289
0.9460,16743.4,301.605,11.557,1.0154,0.2223,1.0395
0.9470,16815.1,300.431,11.430,1.1739,0.1272,1.1808
0.9480,16885.4,299.138,11.337,1.2929,0.0937,1.2963
0.9490,16954.3,297.769,11.182,1.3685,0.1542,1.3771
0.9500,17021.7,296.371,11.311,1.3987,0.1287,1.4046
0.9510,17087.6,294.984,11.248,1.3867,0.0627,1.3882
0.9520,17151.9,293.644,11.180,1.3398,0.0686,1.3416
0.9530,17214.5,292.372,11.182,1.2723,0.0025,1.2723
0.9540,17275.6,291.170,11.147,1.2014,0.0357,1.2020
0.9550,17334.9,290.036,11.060,1.1344,0.0870,1.1377
0.9560,17392.4,288.959,11.009,1.0765,0.0505,1.0777
0.9570,17448.2,287.932,11.044,1.0278,0.0350,1.0284
0.9580,17502.1,286.946,10.922,0.9854,0.1216,0.9929
0.9590,17554.1,286.002,10.860,0.9440,0.0627,0.9461
0.9600,17604.1,285.101,10.878,0.9009,0.0188,0.9011
0.9610,17652.2,284.246,10.943,0.8557,0.0642,0.8581
0.9620,17698.3,283.436,10.945,0.8099,0.0022,0.8099
0.9630,17742.2,282.667,10.951,0.7689,0.0061,0.7689
0.9640,17784.0,281.929,10.732,0.7378,0.2195,0.7698
0.9650,17823.7,281.210,10.597,0.7195,0.1346,0.7320
0.9660,17861.1,280.495,10.749,0.7141,0.1517,0.7301
0.9670,17896.3,279.779,10.748,0.7161,0.0004,0.7161
0.9680,17929.1,279.061,10.734,0.7182,0.0145,0.7183
0.9690,17959.6,278.349,10.732,0.7121,0.0015,0.7121
0.9700,17987.7,277.656,10.739,0.6935,0.0065,0.6935
0.9710,18013.3,276.991,10.704,0.6646,0.0348,0.6655
0.9720,18036.5,276.359,10.740,0.6322,0.0360,0.6332
0.9730,18057.1,275.748,10.773,0.6111,0.0329,0.6120
0.9740,18075.0,275.124,10.870,0.6236,0.0969,0.6311
0.9750,18090.4,274.421,11.077,0.7027,0.2075,0.7327
0.9760,18103.0,273.529,11.456,0.8920,0.3793,0.9692
0.9770,18113.0,272.278,12.106,1.2511,0.6494,1.4096
0.9780,18120.1,270.442,13.055,1.8360,0.9494,2.0670
0.9790,18124.4,268.442,14.055,2.0000,1.0000,2.2360
0.9800,18125.9,266.442,15.055,2.0000,1.0000,2.2360
0.9810,18125.9,264.442,16.055,2.0000,1.0000,2.2360
0.9820,18125.9,262.442,17.055,2.0000,1.0000,2.2360
0.9830,18125.9,244.937,18.055,17.5050,1.0000,17.5333
0.9840,18125.9,220.891,19.055,24.0458,1.0000,24.0662
0.9850,18125.9,199.166,20.055,21.7260,1.0000,21.7487
0.9860,18125.9,184.238,21.055,14.9273,1.0000,14.9606
0.9870,18125.9,174.838,22.055,9.3998,1.0000,9.4528
0.9880,18125.9,168.842,23.055,5.9960,1.0000,6.0787
0.9890,18125.9,164.924,24.055,3.9184,1.0000,4.0440
0.9900,18125.9,162.246,25.055,2.6781,1.0000,2.8587
0.9910,18125.9,160.227,26.055,2.0189,1.0000,2.2530
0.9920,18125.9,158.227,26.055,2.0000,0.0000,2.0000
0.9930,18125.9,156.227,25.055,2.0000,1.0000,2.2360
0.9940,18125.9,154.227,24.055,2.0000,1.0000,2.2360
0.9950,18125.9,152.227,23.055,2.0000,1.0000,2.2360
0.9960,18125.9,150.227,22.055,2.0000,1.0000,2.2360
0.9970,18125.9,148.227,21.055,2.0000,1.0000,2.2360
0.9980,18125.9,146.227,20.055,2.0000,1.0000,2.2360
0.9990,18125.9,144.227,19.055,2.0000,1.0000,2.2360
1.0000,18125.9,142.227,18.055,2.0000,1.0000,2.2360
