s,d,yaw,pitch,dyaw,dpitch,qdist
0.3800,2698.6,109.176,16.603,0.1600,0.1335,0.2084
0.3810,2701.1,109.017,16.461,0.1594,0.1423,0.2137
0.3820,2703.7,108.858,16.306,0.1591,0.1543,0.2216
0.3830,2706.2,108.699,16.221,0.1588,0.0856,0.1804
0.3840,2708.8,108.540,16.223,0.1587,0.0026,0.1587
0.3850,2711.4,108.382,16.277,0.1585,0.0539,0.1674
0.3860,2714.0,108.224,16.384,0.1581,0.1067,0.1907
0.3870,2716.6,108.066,16.537,0.1574,0.1533,0.2198
0.3880,2719.2,107.910,16.728,0.1562,0.1901,0.2461
0.3890,2721.8,107.756,16.916,0.1544,0.1885,0.2436
0.3900,2724.5,107.604,17.105,0.1516,0.1887,0.2421
0.3910,2727.1,107.456,17.159,0.1480,0.0539,0.1575
0.3920,2729.8,107.313,17.169,0.1433,0.0108,0.1437
0.3930,2732.5,107.175,17.198,0.1378,0.0282,0.1406
0.3940,2735.2,107.044,17.233,0.1314,0.0350,0.1360
0.3950,2737.9,106.919,17.413,0.1246,0.1805,0.2193
0.3960,2740.7,106.802,17.581,0.1174,0.1683,0.2052
0.3970,2743.4,106.691,17.708,0.1103,0.1270,0.1682
0.3980,2746.2,106.588,17.761,0.1036,0.0532,0.1164
0.3990,2749.1,106.490,17.707,0.0974,0.0542,0.1115
0.4000,2751.9,106.398,17.523,0.0922,0.1843,0.2061
0.4010,2754.8,106.310,17.257,0.0879,0.2660,0.2802
0.4020,2757.7,106.225,17.025,0.0848,0.2316,0.2467
0.4030,2760.6,106.142,16.791,0.0828,0.2344,0.2486
0.4040,2763.5,106.061,16.557,0.0819,0.2344,0.2483
0.4050,2766.5,105.979,16.349,0.0818,0.2074,0.2229
0.4060,2769.5,105.897,16.176,0.0820,0.1731,0.1915
0.4070,2772.5,105.815,16.102,0.0822,0.0741,0.1107
0.4080,2775.6,105.733,16.082,0.0819,0.0203,0.0844
0.4090,2778.7,105.652,16.218,0.0805,0.1359,0.1580
0.4100,2781.8,105.575,16.487,0.0775,0.2689,0.2798
0.4110,2785.0,105.502,16.866,0.0728,0.3795,0.3864
0.4120,2788.2,105.435,17.264,0.0663,0.3976,0.4031
0.4130,2791.4,105.377,17.617,0.0581,0.3534,0.3581
0.4140,2794.7,105.329,17.903,0.0485,0.2860,0.2901
0.4150,2798.0,105.291,17.934,0.0379,0.0308,0.0488
0.4160,2801.3,105.264,17.850,0.0267,0.0840,0.0881
0.4170,2804.7,105.249,17.629,0.0154,0.2204,0.2210
